SO	43.51	-0.47	
LUV	34.76	+0.19	
SWN	21.06	-0.86	
SE	30.41	-0.88	
STJ	77.16	-0.01	
SWK	107.35	+0.14	
SPLS	14.70	-0.64	
SBUX	55.69	-0.05	
HOT	85.62	+0.77	
STT	79.38	+0.08	
SRCL	136.42	-2.50	
SYK	98.21	+0.04	
STI	44.75	-0.60	
SYMC	23.47	+0.06	
SYY	36.35	+0.21	
TROW	79.42	-0.09	
TGT	84.69	-0.32	
TEL	62.20	-0.59	
TE	21.28	-0.20	
THC	58.73	-0.28	
TDC	35.62	-0.14	
TSO	102.14	-0.65	
TXN	49.36	+0.00	
TXT	43.81	-0.22	
HSY	91.51	-0.81	
TRV	102.94	-0.35	
TMO	135.75	-0.91	
TIF	92.88	-1.11	
TWX	89.69	-1.32	
TWC	189.01	+1.97	
TJX	68.74	-0.63	
TMK	60.32	-0.61	
TSS	43.97	+0.12	
TSCO	94.50	+0.58	
RIG	13.48	-1.13	
TRIP	92.18	+1.07	
FOXA	33.99	-0.26	
TSN	42.94	-0.51	
TYC	38.40	-0.15	
USB	45.85	-0.01	
UA	87.22	+1.87	
UNP	97.42	+1.38	
UNH	123.85	-1.08	
UPS	97.60	+0.12	
MLM	156.53	+2.74	
URI	81.26	-0.52	
UTX	110.74	-0.52	
UHS	141.23	-0.02	
UNM	36.37	-0.25	
URBN	35.18	-0.92	
VFC	72.49	-0.55	
VLO	67.94	+0.48	
VAR	87.70	-0.16	
VTR	64.44	-0.15	
VRSN	65.02	+0.07	
VZ	47.59	-0.24	
VRTX	134.17	+0.27	
VIAB	60.78	-1.01	
V	70.88	+0.31	
VNO	97.31	-0.92	
VMC	91.67	+0.97	
WMT	73.39	-0.44 
DIS	118.86	-0.21	
WM	48.68	-0.26	
WAT	130.88	+0.09	
ANTM	158.59	+0.99	
WFC	57.94	-0.23	
WDC	78.93	+0.04	
WU	19.20	-0.07	
WY	30.48	-0.48	
WHR	168.72	-1.28	
WFM	41.63	-0.32	
WMB	57.67	-0.29	
WIN	5.30	-0.07	
WEC	47.86	-0.56	
WYN	86.67	+0.12	
WYNN	101.71	-2.09	
XEL	33.70	-0.42	
XRX	10.83	+0.22	
XLNX	42.66	+0.38	
XL	38.06	-0.18	
XYL	35.81	-0.21	
YHOO	39.68	+0.77	
YUM	87.88	-0.37	
ZMH	113.56	+0.00	
ZION	30.43	-1.09	
ZTS	47.80	-0.20	
